customerID,complaint,complaint_number,complaint_clean,keyword,Service Quality,Inconsistent Internet Speed,No Proactive Support,Overcharging,Not Communicated Extra Charges
3874-EQOEP,"Despite the ongoing problems with the services, my monthly charges remain high, and there has been no adjustment or compensation for the inconvenience.",3,"despite the ongoing problems with the services, my monthly charges remain high, and there has been no adjustment or compensation for the inconvenience.",Inconsistent Internet Speed,0,1,0,0,0
4078-SAYYN,"The streaming services I signed up for frequently buffer or crash, and the internet speed is inconsistent despite paying a high monthly fee. This has been very frustrating, especially since I'm on a month-to-month contract.",1,"the streaming services i signed up for frequently buffer or crash, and the internet speed is inconsistent despite paying a high monthly fee. this has been very frustrating, especially since i'm on a month-to-month contract.",Inconsistent Internet Speed,0,1,0,0,0
2968-SSGAA,The internet speed has been consistently poor despite paying for Fiber Optic service. Streaming movies and TV is a frustrating experience with constant buffering.,1,the internet speed has been consistently poor despite paying for fiber optic service. streaming movies and tv is a frustrating experience with constant buffering.,Inconsistent Internet Speed,0,1,0,0,0
2968-SSGAA,"I contacted customer support about the slow internet, but I did not receive any helpful assistance, and the issue still persists.",2,"i contacted customer support about the slow internet, but i did not receive any helpful assistance, and the issue still persists.",No Proactive Support,0,0,1,0,0
2968-SSGAA,The monthly charges are excessively high for the quality of service provided. I don't feel I'm getting value for my money.,3,the monthly charges are excessively high for the quality of service provided. i don't feel i'm getting value for my money.,Overcharging,0,0,0,1,0
2968-SSGAA,"Despite not having Online Security or Tech Support, I feel the lack of these critical services greatly impacts my experience, and there was no clear communication about their absence when I signed up.",4,"despite not having online security or tech support, i feel the lack of these critical services greatly impacts my experience, and there was no clear communication about their absence when i signed up.",Service Quality,1,0,0,0,0
2968-SSGAA,"The billing process through electronic check has been inconvenient, and I noticed discrepancies in my bill that were not explained or corrected.",5,"the billing process through electronic check has been inconvenient, and i noticed discrepancies in my bill that were not explained or corrected.",Service Quality,1,0,0,0,0
0529-ONKER,"The internet speed has been consistently slow, making it difficult to use even basic online services. This is unacceptable for the high monthly charges I'm paying.",1,"the internet speed has been consistently slow, making it difficult to use even basic online services. this is unacceptable for the high monthly charges i'm paying.",Service Quality,1,0,0,0,0
0529-ONKER,"I have repeatedly called customer support about the internet issues, but I have not received any helpful resolution. The lack of assistance is frustrating.",2,"i have repeatedly called customer support about the internet issues, but i have not received any helpful resolution. the lack of assistance is frustrating.",No Proactive Support,0,0,1,0,0
0529-ONKER,The fact that I’m being charged $75.65 per month for services without additional features like online security or tech support feels unreasonable and overpriced.,3,the fact that i’m being charged $75.65 per month for services without additional features like online security or tech support feels unreasonable and overpriced.,Overcharging,0,0,0,1,0
0529-ONKER,"Despite opting for paper billing, I’ve noticed delays in receiving my bill, causing inconvenience and uncertainty about payment deadlines.",4,"despite opting for paper billing, i’ve noticed delays in receiving my bill, causing inconvenience and uncertainty about payment deadlines.",No Proactive Support,0,0,1,0,0
8390-FESFV,"The streaming services I've been paying for are constantly buffering and lagging, making it impossible to watch anything without interruptions. I've contacted customer support multiple times, but the issue still hasn't been resolved.",1,"the streaming services i've been paying for are constantly buffering and lagging, making it impossible to watch anything without interruptions. i've contacted customer support multiple times, but the issue still hasn't been resolved.",Service Quality,1,0,0,0,0
8519-IMDHU,"The streaming movies service often buffers and freezes, making it impossible to enjoy anything. Despite paying a high monthly charge, the quality of service has been extremely disappointing.",1,"the streaming movies service often buffers and freezes, making it impossible to enjoy anything. despite paying a high monthly charge, the quality of service has been extremely disappointing.",No Proactive Support,0,0,1,0,0
6648-INWPS,"I often experience billing delays due to the lack of paperless billing, and it’s inconvenient to manage payments with the current system. Please provide a more streamlined option.",1,"i often experience billing delays due to the lack of paperless billing, and it’s inconvenient to manage payments with the current system. please provide a more streamlined option.",Not Communicated Extra Charges,0,0,0,0,1
6688-UZPWD,"The internet speed with the fiber optic service has been extremely inconsistent, especially while streaming TV and movies. Despite paying a high monthly charge, I am not getting the quality I expected, and there has been no resolution despite multiple attempts to contact support.",1,"the internet speed with the fiber optic service has been extremely inconsistent, especially while streaming tv and movies. despite paying a high monthly charge, i am not getting the quality i expected, and there has been no resolution despite multiple attempts to contact support.",Service Quality,1,0,0,0,0
2858-MOFSQ,"The internet service has been unreliable for months, with frequent slowdowns and disconnections. Despite paying for DSL, the quality has not improved, and this has been extremely frustrating.",1,"the internet service has been unreliable for months, with frequent slowdowns and disconnections. despite paying for dsl, the quality has not improved, and this has been extremely frustrating.",Inconsistent Internet Speed,0,1,0,0,0
2858-MOFSQ,"I contacted customer support about the internet issues, but I did not receive any helpful assistance. The lack of tech support for resolving this problem was one of the main reasons I decided to leave.",2,"i contacted customer support about the internet issues, but i did not receive any helpful assistance. the lack of tech support for resolving this problem was one of the main reasons i decided to leave.",No Proactive Support,0,0,1,0,0
2038-LLMLM,"The streaming services I pay for, both TV and movies, frequently lag or fail to load altogether. This has been an ongoing issue, especially during peak hours, and it's incredibly frustrating.",1,"the streaming services i pay for, both tv and movies, frequently lag or fail to load altogether. this has been an ongoing issue, especially during peak hours, and it's incredibly frustrating.",Invalid,0,0,0,0,0
2038-LLMLM,"Despite having tech support included in my plan, I often have to wait an unreasonable amount of time to get assistance when I face technical issues. It's unacceptable for a service I’m paying a premium for.",2,"despite having tech support included in my plan, i often have to wait an unreasonable amount of time to get assistance when i face technical issues. it's unacceptable for a service i’m paying a premium for.",Service Quality,1,0,0,0,0
2979-SXESE,"The streaming TV service frequently buffers and freezes, making it impossible to watch anything without interruptions. Despite having a fiber optic connection, the issue has not improved, and no resolution has been provided after multiple attempts to contact customer support.",1,"the streaming tv service frequently buffers and freezes, making it impossible to watch anything without interruptions. despite having a fiber optic connection, the issue has not improved, and no resolution has been provided after multiple attempts to contact customer support.",Service Quality,1,0,0,0,0
1374-DMZUI,"The streaming services for both TV and movies often buffer or fail to load, which is extremely frustrating considering the high monthly charges I am paying.",1,"the streaming services for both tv and movies often buffer or fail to load, which is extremely frustrating considering the high monthly charges i am paying.",Overcharging,0,0,0,1,0
1374-DMZUI,"I have been having issues with my fiber optic internet being down frequently, and there is no assistance available since my plan doesn't include tech support.",2,"i have been having issues with my fiber optic internet being down frequently, and there is no assistance available since my plan doesn't include tech support.",Service Quality,1,0,0,0,0
1374-DMZUI,"Your customer service is unhelpful when I try to resolve these issues, and I am tired of paying for services that do not work as advertised.",3,"your customer service is unhelpful when i try to resolve these issues, and i am tired of paying for services that do not work as advertised.",Overcharging,0,0,0,1,0
2189-UXTKY,"My monthly bill is too high for the services I’m receiving. Despite having tech support and online security, I’ve faced multiple issues with my internet service, including slow speeds and buffering while streaming. I expected better service for the price I’m paying.",1,"my monthly bill is too high for the services i’m receiving. despite having tech support and online security, i’ve faced multiple issues with my internet service, including slow speeds and buffering while streaming. i expected better service for the price i’m paying.",Inconsistent Internet Speed,0,1,0,0,0
4446-BZKHU,"The internet service has been consistently unreliable, with frequent outages and buffering issues while streaming TV and movies. Despite being a long-term customer, I feel that the quality of service has not improved, and this has been very frustrating.",1,"the internet service has been consistently unreliable, with frequent outages and buffering issues while streaming tv and movies. despite being a long-term customer, i feel that the quality of service has not improved, and this has been very frustrating.",Inconsistent Internet Speed,0,1,0,0,0
8849-GYOKR,"I've been a loyal customer for years, but the high monthly charges for my services, especially for fiber optic internet and streaming, feel excessive compared to competitors. Despite having multiple services, I don't see any loyalty discounts or benefits.",1,"i've been a loyal customer for years, but the high monthly charges for my services, especially for fiber optic internet and streaming, feel excessive compared to competitors. despite having multiple services, i don't see any loyalty discounts or benefits.",Overcharging,0,0,0,1,0
0329-GTIAJ,"The streaming services I signed up for, both TV and movies, frequently buffer or stop working altogether. This has been incredibly frustrating, especially since I am paying for high-speed fiber optic internet.",1,"the streaming services i signed up for, both tv and movies, frequently buffer or stop working altogether. this has been incredibly frustrating, especially since i am paying for high-speed fiber optic internet.",Inconsistent Internet Speed,0,1,0,0,0
0329-GTIAJ,"When I contacted tech support about the streaming issues, I was put on hold for an extended period, and the issue was not resolved even after multiple attempts.",2,"when i contacted tech support about the streaming issues, i was put on hold for an extended period, and the issue was not resolved even after multiple attempts.",No Proactive Support,0,0,1,0,0
9337-SRRNI,"The quality of the phone service has been poor lately, with frequent call drops and issues with clarity.",1,"the quality of the phone service has been poor lately, with frequent call drops and issues with clarity.",Service Quality,1,0,0,0,0
9337-SRRNI,"I feel like I'm being overcharged for my phone service, especially since I don't have internet services bundled with it.",2,"i feel like i'm being overcharged for my phone service, especially since i don't have internet services bundled with it.",Overcharging,0,0,0,1,0
9337-SRRNI,"I tried reaching out to customer support about my phone issues, but I haven't received any helpful response or resolution.",3,"i tried reaching out to customer support about my phone issues, but i haven't received any helpful response or resolution.",No Proactive Support,0,0,1,0,0
9451-WLYRI,"I've been a loyal customer for over four years, but I don't understand why my service options are so limited. Despite paying consistently, I'm not able to access internet services, which feels unfair. I would like an explanation or a way to upgrade my services.",1,"i've been a loyal customer for over four years, but i don't understand why my service options are so limited. despite paying consistently, i'm not able to access internet services, which feels unfair. i would like an explanation or a way to upgrade my services.",Invalid,0,0,0,0,0
2027-WKXMW,"The streaming services, both TV and movies, frequently buffer and ruin my viewing experience. This has been ongoing for weeks, and I expect better service given how much I’m paying monthly.",1,"the streaming services, both tv and movies, frequently buffer and ruin my viewing experience. this has been ongoing for weeks, and i expect better service given how much i’m paying monthly.",No Proactive Support,0,0,1,0,0
2027-WKXMW,"Despite having tech support included, it takes forever to get issues resolved when I call. The delays and lack of proactive solutions are extremely frustrating.",2,"despite having tech support included, it takes forever to get issues resolved when i call. the delays and lack of proactive solutions are extremely frustrating.",No Proactive Support,0,0,1,0,0
0122-OAHPZ,"The internet service has been extremely unreliable, with frequent outages and slow speeds, making it impossible to get work done or stream content. This has been an ongoing issue, and no resolution has been provided despite multiple attempts to reach out.",1,"the internet service has been extremely unreliable, with frequent outages and slow speeds, making it impossible to get work done or stream content. this has been an ongoing issue, and no resolution has been provided despite multiple attempts to reach out.",Service Quality,1,0,0,0,0
0122-OAHPZ,"The customer support team has been unhelpful in addressing my complaints about the internet service. Each time I call, I am either put on hold for an extended period or given generic responses without any real action being taken.",2,"the customer support team has been unhelpful in addressing my complaints about the internet service. each time i call, i am either put on hold for an extended period or given generic responses without any real action being taken.",No Proactive Support,0,0,1,0,0
4489-SNOJF,"I am extremely disappointed with the frequent price increases on my monthly bill despite being a loyal customer for nearly three years. The charges feel excessive, especially considering I am careful to use only the services I need.",1,"i am extremely disappointed with the frequent price increases on my monthly bill despite being a loyal customer for nearly three years. the charges feel excessive, especially considering i am careful to use only the services i need.",Overcharging,0,0,0,1,0
4291-SHSBH,"I've been experiencing frequent internet outages with the fiber optic service, which is unacceptable given the high monthly charges.",1,"i've been experiencing frequent internet outages with the fiber optic service, which is unacceptable given the high monthly charges.",Overcharging,0,0,0,1,0
4291-SHSBH,"I contacted customer support regarding the internet issues, but the response was unhelpful and no resolution was provided.",2,"i contacted customer support regarding the internet issues, but the response was unhelpful and no resolution was provided.",Service Quality,1,0,0,0,0
4291-SHSBH,The lack of included services like online security or tech support for the price I'm paying feels unfair and makes me question the value of this subscription.,3,the lack of included services like online security or tech support for the price i'm paying feels unfair and makes me question the value of this subscription.,Invalid,0,0,0,0,0
3583-EKAPL,"The streaming movies service is not working properly. I've been trying to watch movies, but the service keeps buffering or failing to load altogether. This is very frustrating, especially since I've just started my account.",1,"the streaming movies service is not working properly. i've been trying to watch movies, but the service keeps buffering or failing to load altogether. this is very frustrating, especially since i've just started my account.",Service Quality,1,0,0,0,0
7895-VONWT,"The streaming services I subscribed to, both TV and movies, often experience buffering and interruptions despite having a stable internet plan. This has been frustrating, and I expect a resolution to improve the quality of these services.",1,"the streaming services i subscribed to, both tv and movies, often experience buffering and interruptions despite having a stable internet plan. this has been frustrating, and i expect a resolution to improve the quality of these services.",Inconsistent Internet Speed,0,1,0,0,0
0617-AQNWT,"I've been a loyal customer for over five years, yet my internet speed has been consistently slower than advertised. This has been a persistent issue that has not been resolved despite reaching out earlier.",1,"i've been a loyal customer for over five years, yet my internet speed has been consistently slower than advertised. this has been a persistent issue that has not been resolved despite reaching out earlier.",Inconsistent Internet Speed,0,1,0,0,0
0617-AQNWT,"My streaming movie service frequently buffers, making it almost impossible to enjoy watching anything. This is unacceptable given how much I am paying monthly.",2,"my streaming movie service frequently buffers, making it almost impossible to enjoy watching anything. this is unacceptable given how much i am paying monthly.",Invalid,0,0,0,0,0
0617-AQNWT,"I specifically chose a plan with tech support, but when I called for help with my internet issues, I was put on hold for over an hour without resolution.",3,"i specifically chose a plan with tech support, but when i called for help with my internet issues, i was put on hold for over an hour without resolution.",Not Communicated Extra Charges,0,0,0,0,1
0617-AQNWT,"Despite not using paperless billing, I often receive billing statements late, which has caused unnecessary stress and confusion about payment deadlines.",4,"despite not using paperless billing, i often receive billing statements late, which has caused unnecessary stress and confusion about payment deadlines.",Not Communicated Extra Charges,0,0,0,0,1
0617-AQNWT,"I decided to cancel my service because of the continued poor performance and lack of resolution, but the cancellation process was unnecessarily complicated and time-consuming.",5,"i decided to cancel my service because of the continued poor performance and lack of resolution, but the cancellation process was unnecessarily complicated and time-consuming.",Invalid,0,0,0,0,0
6719-OXYBR,"The internet speed is not as advertised. Despite paying for fiber optic, I often experience slow loading times, especially during peak hours.",1,"the internet speed is not as advertised. despite paying for fiber optic, i often experience slow loading times, especially during peak hours.",Inconsistent Internet Speed,0,1,0,0,0
6719-OXYBR,"The streaming TV service frequently buffers, making it nearly impossible to watch anything uninterrupted.",2,"the streaming tv service frequently buffers, making it nearly impossible to watch anything uninterrupted.",Not Communicated Extra Charges,0,0,0,0,1
6719-OXYBR,"I contacted customer support about the buffering issue, but I was put on hold for over 30 minutes and didn’t receive a satisfactory resolution.",3,"i contacted customer support about the buffering issue, but i was put on hold for over 30 minutes and didn’t receive a satisfactory resolution.",No Proactive Support,0,0,1,0,0
6719-OXYBR,The monthly charge is too high for the level of service I’m receiving. I feel I am not getting value for my money.,4,the monthly charge is too high for the level of service i’m receiving. i feel i am not getting value for my money.,Overcharging,0,0,0,1,0
6719-OXYBR,I am frustrated that basic online security features are not included in my plan. I would expect this to be a standard offering given the high cost.,5,i am frustrated that basic online security features are not included in my plan. i would expect this to be a standard offering given the high cost.,Service Quality,1,0,0,0,0
8894-JVDCV,"The streaming TV service often buffers and freezes during peak hours, making it nearly impossible to watch anything without interruptions.",1,"the streaming tv service often buffers and freezes during peak hours, making it nearly impossible to watch anything without interruptions.",Overcharging,0,0,0,1,0
8894-JVDCV,"Despite paying for premium fiber optic internet, I frequently experience inconsistent speeds, which affects both browsing and streaming.",2,"despite paying for premium fiber optic internet, i frequently experience inconsistent speeds, which affects both browsing and streaming.",Inconsistent Internet Speed,0,1,0,0,0
8894-JVDCV,"The customer support team takes too long to respond when I report issues, and when they do, the solutions provided are often ineffective.",3,"the customer support team takes too long to respond when i report issues, and when they do, the solutions provided are often ineffective.",No Proactive Support,0,0,1,0,0
8894-JVDCV,"I noticed an unexpected increase in my monthly charges recently, and I haven't received any explanation or notification about this change.",4,"i noticed an unexpected increase in my monthly charges recently, and i haven't received any explanation or notification about this change.",Not Communicated Extra Charges,0,0,0,0,1
7133-VBDCG,"The internet connection has been extremely inconsistent despite using fiber optic service. I've reported this issue multiple times, but it still hasn't been resolved, which is very frustrating and led me to cancel my service.",1,"the internet connection has been extremely inconsistent despite using fiber optic service. i've reported this issue multiple times, but it still hasn't been resolved, which is very frustrating and led me to cancel my service.",No Proactive Support,0,0,1,0,0
5380-AFSSK,"The streaming services I’ve been paying for are constantly buffering and lagging, making it impossible to enjoy watching TV or movies. Despite the high monthly charges, the quality of service has been very disappointing.",1,"the streaming services i’ve been paying for are constantly buffering and lagging, making it impossible to enjoy watching tv or movies. despite the high monthly charges, the quality of service has been very disappointing.",Service Quality,1,0,0,0,0
9391-DXGGG,"The internet speed is not consistent, and I often experience buffering while streaming movies, which is frustrating given the high monthly charges.",1,"the internet speed is not consistent, and i often experience buffering while streaming movies, which is frustrating given the high monthly charges.",Inconsistent Internet Speed,0,1,0,0,0
9391-DXGGG,"I have been paying for tech support, but the service is unavailable when I need assistance with my internet issues. This is unacceptable.",2,"i have been paying for tech support, but the service is unavailable when i need assistance with my internet issues. this is unacceptable.",Invalid,0,0,0,0,0
9391-DXGGG,Your customer service team is unresponsive and unhelpful when I try to report service issues. I expect better support for long-term customers.,3,your customer service team is unresponsive and unhelpful when i try to report service issues. i expect better support for long-term customers.,No Proactive Support,0,0,1,0,0
0207-MDKNV,"The streaming services I signed up for, including both TV and movies, often buffer or fail to load altogether. This has been frustrating, especially since I'm paying a premium for Fiber optic internet.",1,"the streaming services i signed up for, including both tv and movies, often buffer or fail to load altogether. this has been frustrating, especially since i'm paying a premium for fiber optic internet.",Service Quality,1,0,0,0,0
0207-MDKNV,"Despite having tech support included, when I reached out for help with my streaming issues, the support team was unresponsive and did not resolve the problem.",2,"despite having tech support included, when i reached out for help with my streaming issues, the support team was unresponsive and did not resolve the problem.",No Proactive Support,0,0,1,0,0
7587-RZNME,"The DSL internet service has been extremely slow and unreliable despite paying $43.30 per month. Customer support has not provided any real assistance, which is why I decided to cancel my service.",1,"the dsl internet service has been extremely slow and unreliable despite paying $43.30 per month. customer support has not provided any real assistance, which is why i decided to cancel my service.",No Proactive Support,0,0,1,0,0
9514-JDSKI,"The streaming TV service consistently buffers and lags, making it impossible to watch anything without interruptions. This is unacceptable, especially for a new customer.",1,"the streaming tv service consistently buffers and lags, making it impossible to watch anything without interruptions. this is unacceptable, especially for a new customer.",Service Quality,1,0,0,0,0
9514-JDSKI,"I reached out to customer support regarding my streaming issues, but I received no clear resolution or follow-up. This lack of assistance is very frustrating.",2,"i reached out to customer support regarding my streaming issues, but i received no clear resolution or follow-up. this lack of assistance is very frustrating.",No Proactive Support,0,0,1,0,0
9776-CLUJA,"The internet service has been consistently unreliable despite being on a fiber optic plan. I’ve had frequent outages and slow speeds, which is unacceptable given the high monthly charges. I had no choice but to cancel my service.",1,"the internet service has been consistently unreliable despite being on a fiber optic plan. i’ve had frequent outages and slow speeds, which is unacceptable given the high monthly charges. i had no choice but to cancel my service.",Service Quality,1,0,0,0,0
6365-MTGZX,"The streaming services I pay for, including TV and movies, frequently buffer or fail to load altogether, which has been very frustrating.",1,"the streaming services i pay for, including tv and movies, frequently buffer or fail to load altogether, which has been very frustrating.",Service Quality,1,0,0,0,0
6365-MTGZX,"Despite paying for tech support, I struggled to get any meaningful assistance when I reported the streaming issues, and the problem still isn't resolved.",2,"despite paying for tech support, i struggled to get any meaningful assistance when i reported the streaming issues, and the problem still isn't resolved.",No Proactive Support,0,0,1,0,0
6365-MTGZX,"The fiber optic internet connection has frequent drops, making it impossible to enjoy the services I'm paying for.",3,"the fiber optic internet connection has frequent drops, making it impossible to enjoy the services i'm paying for.",Not Communicated Extra Charges,0,0,0,0,1
6365-MTGZX,"The monthly charge of $96 is far too high given the consistent issues with the services, and I feel like I'm not getting what I paid for.",4,"the monthly charge of $96 is far too high given the consistent issues with the services, and i feel like i'm not getting what i paid for.",Overcharging,0,0,0,1,0
6365-MTGZX,I was charged for the month even though I decided to cancel due to these ongoing problems—I would like a refund for the unused services.,5,i was charged for the month even though i decided to cancel due to these ongoing problems—i would like a refund for the unused services.,Not Communicated Extra Charges,0,0,0,0,1
7036-ZZKBD,"The streaming movies service often buffers and has poor video quality, even though I am paying for it. This has been frustrating, and I would like this issue resolved immediately.",1,"the streaming movies service often buffers and has poor video quality, even though i am paying for it. this has been frustrating, and i would like this issue resolved immediately.",Service Quality,1,0,0,0,0
5931-FLJJF,"The internet service has been extremely unreliable, with frequent outages and slow speeds, making it difficult to complete basic tasks online.",1,"the internet service has been extremely unreliable, with frequent outages and slow speeds, making it difficult to complete basic tasks online.",Invalid,0,0,0,0,0
5931-FLJJF,"I tried reaching out to customer support to resolve the internet issues, but no one was able to provide a satisfactory solution or timeline for fixing the problem.",2,"i tried reaching out to customer support to resolve the internet issues, but no one was able to provide a satisfactory solution or timeline for fixing the problem.",No Proactive Support,0,0,1,0,0
5931-FLJJF,"Despite the poor service, my monthly bill remains high, and I don’t feel like I’m getting value for the amount I’m paying.",3,"despite the poor service, my monthly bill remains high, and i don’t feel like i’m getting value for the amount i’m paying.",Overcharging,0,0,0,1,0
7688-AWMDX,"Despite being a long-term customer, my DSL internet speed has been consistently below what was promised in my plan. It's frustrating to deal with such slow speeds when I rely on a stable connection for work and other activities. Please resolve this issue promptly.",1,"despite being a long-term customer, my dsl internet speed has been consistently below what was promised in my plan. it's frustrating to deal with such slow speeds when i rely on a stable connection for work and other activities. please resolve this issue promptly.",Inconsistent Internet Speed,0,1,0,0,0
0479-HMSWA,"The streaming services I signed up for, both TV and movies, frequently buffer or crash, which disrupts my viewing experience. This has been ongoing for weeks, and I need it fixed immediately.",1,"the streaming services i signed up for, both tv and movies, frequently buffer or crash, which disrupts my viewing experience. this has been ongoing for weeks, and i need it fixed immediately.",Inconsistent Internet Speed,0,1,0,0,0
0479-HMSWA,"Despite having tech support included in my plan, it took ages to get through to a representative the last time I called, and they couldn't resolve my issue effectively. This level of support is unacceptable for the amount I’m paying.",2,"despite having tech support included in my plan, it took ages to get through to a representative the last time i called, and they couldn't resolve my issue effectively. this level of support is unacceptable for the amount i’m paying.",Service Quality,1,0,0,0,0
